cancion,artista,playlist,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,Lista Rep,liked
The Trooper - 2015 Remaster,Iron Maiden,37i9dQZF1DWWOaP4H0w5b0,1Ab3hhOw1TJWDgO10vlxNZ,0.285,0.908,4,-4.601,0.0705,0.0318,0.00909,0.311,0.669,Metal Essentials,1
Rainbow in the Dark,Dio,37i9dQZF1DWWOaP4H0w5b0,2PpNgmrS9mAyrkRAwn6YPq,0.512,0.947,9,-5.659,0.0401,0.000692,0.114,0.0283,0.612,Metal Essentials,1
I Want Out,Helloween,37i9dQZF1DWWOaP4H0w5b0,5VZwMq6yaFb04PCTfdNY3K,0.477,0.859,0,-8.625,0.0387,0.000333,0.000155,0.265,0.629,Metal Essentials,1
Cirice,Ghost,37i9dQZF1DWWOaP4H0w5b0,3ZXZ9RMsznqgyHnyq0K5FL,0.555,0.798,3,-5.658,0.0279,0.00254,1.5e-05,0.171,0.284,Metal Essentials,1
Raining Blood,Slayer,37i9dQZF1DWWOaP4H0w5b0,01Mpj13vURSO3cCLprPt5T,0.294,0.995,1,-4.383,0.168,0.000489,0.331,0.128,0.0379,Metal Essentials,1
Dig,Mudvayne,37i9dQZF1DWWOaP4H0w5b0,7vrLphPq4yjaX7jiDdd2Nc,0.623,0.983,11,-3.548,0.151,9.62e-05,0.0617,0.261,0.271,Metal Essentials,1
Push It,Static-X,37i9dQZF1DWWOaP4H0w5b0,6O7pihLJgeqxUnG7u9oYL2,0.557,0.978,0,-3.965,0.0493,0.000393,4.42e-06,0.287,0.499,Metal Essentials,1
Redneck,Lamb of God,37i9dQZF1DWWOaP4H0w5b0,04EtBLFIxbcVt9NdYgcrpF,0.512,0.996,2,-2.1,0.114,5.63e-05,0.000167,0.347,0.0601,Metal Essentials,1
Nobody's Fool,Cinderella,37i9dQZF1DWWOaP4H0w5b0,01Q4wU19hamqnhNjtuvTyI,0.367,0.445,9,-13.615,0.0286,0.0478,0.00284,0.163,0.149,Metal Essentials,1
South Of Heaven,Slayer,37i9dQZF1DWWOaP4H0w5b0,3U9gogDStAfWxSm91PJuxb,0.31,0.991,5,-3.769,0.316,0.000132,0.085,0.0969,0.0395,Metal Essentials,1
Twilight Of The Thunder God,Amon Amarth,37i9dQZF1DWWOaP4H0w5b0,5u3l2TONYacJgmRPQVaF9y,0.374,0.92,6,-4.653,0.0501,1.62e-05,0.026,0.0802,0.278,Metal Essentials,1
Only for the Weak,In Flames,37i9dQZF1DWWOaP4H0w5b0,0JBQnLKfLXmlkquabLtAgd,0.418,0.835,0,-4.824,0.0449,2.33e-06,0.766,0.289,0.549,Metal Essentials,1
Holy Diver,Dio,37i9dQZF1DWWOaP4H0w5b0,57fqmDaokbxZ3TaB0jp39q,0.476,0.901,8,-6.751,0.0975,0.0642,0.158,0.0557,0.109,Metal Essentials,1
Pull Me Under,Dream Theater,37i9dQZF1DWWOaP4H0w5b0,5CPXR6lDTvngxtmMZxnWmC,0.532,0.941,9,-9.025,0.0465,0.000579,0.0527,0.15,0.278,Metal Essentials,1
Roots Bloody Roots,Sepultura,37i9dQZF1DWWOaP4H0w5b0,6ursmCnbc9oDRGa2yHKkoZ,0.428,0.874,4,-6.664,0.128,0.000337,0.0419,0.311,0.261,Metal Essentials,1
I Wanna Be Somebody,W.A.S.P.,37i9dQZF1DWWOaP4H0w5b0,6w8dBm5KlXxWejYrbGS1EJ,0.285,0.825,1,-7.049,0.0466,0.000826,0.0,0.268,0.516,Metal Essentials,1
Under and Over It,Five Finger Death Punch,37i9dQZF1DWWOaP4H0w5b0,7DyCmfT0WNViykLTHGT3yO,0.473,0.996,11,-3.027,0.173,1.41e-05,0.0,0.26,0.0952,Metal Essentials,1
Balls to the Wall,Accept,37i9dQZF1DWWOaP4H0w5b0,2dbOYFfS7r7NAzquRvji9A,0.544,0.739,9,-7.383,0.0517,0.00392,0.000143,0.168,0.328,Metal Essentials,1
Are You Dead Yet?,Children Of Bodom,37i9dQZF1DWWOaP4H0w5b0,2T2vudIHfVMA5ychWTU3KA,0.461,0.961,8,-3.011,0.0479,6.39e-06,0.14,0.308,0.416,Metal Essentials,1
Ritual,Ghost,37i9dQZF1DWWOaP4H0w5b0,5ZiTzbMB53mIiP3I4uQCmt,0.671,0.867,0,-5.194,0.0503,0.0882,3.29e-05,0.119,0.698,Metal Essentials,1
Carrion,Parkway Drive,37i9dQZF1DWWOaP4H0w5b0,0xfWKcNu13xxXQ2GT0P09M,0.228,0.969,6,-4.07,0.1,0.000275,0.0,0.0982,0.428,Metal Essentials,1
Madhouse,Anthrax,37i9dQZF1DWWOaP4H0w5b0,76BYv24CcZt2u94JRjmATX,0.329,0.885,9,-10.661,0.0904,0.0242,0.00433,0.735,0.481,Metal Essentials,1
War Eternal,Arch Enemy,37i9dQZF1DWWOaP4H0w5b0,0WZZENH0kt3O2cBE8q5IRq,0.445,0.98,5,-4.369,0.0731,2.45e-05,0.163,0.129,0.285,Metal Essentials,1
You Only Live Once,Suicide Silence,37i9dQZF1DWWOaP4H0w5b0,4Ku3OOZWR4tpKNCVFXILY8,0.613,0.953,6,-4.936,0.153,0.00018,0.0614,0.116,0.213,Metal Essentials,1
Black No. 1 (Little Miss Scare -All),Type O Negative,37i9dQZF1DWWOaP4H0w5b0,710B9xFjNOisQtKtppZE9p,0.348,0.7,4,-8.885,0.0611,0.0397,0.00228,0.106,0.416,Metal Essentials,1
In Waves,Trivium,37i9dQZF1DWWOaP4H0w5b0,1yYr4D1KjhhyDD5bZIiFQy,0.477,0.94,9,-3.435,0.103,0.000211,0.0518,0.346,0.338,Metal Essentials,1
The Number of the Beast - 2015 Remaster,Iron Maiden,37i9dQZF1DWWOaP4H0w5b0,139RwLyp7r8F9ojvhGF5lC,0.409,0.89,0,-6.839,0.0558,0.088,0.107,0.0935,0.268,Metal Essentials,1
Highway Star,Deep Purple,37i9dQZF1DWWOaP4H0w5b0,4gVTozEmzwAUXpwj3jEetX,0.298,0.895,9,-7.647,0.0547,0.0283,0.00574,0.305,0.544,Metal Essentials,1
Hammer Smashed Face,Cannibal Corpse,37i9dQZF1DWWOaP4H0w5b0,4pFC6tuWErxbO61oFFq3BQ,0.357,0.98,6,-6.835,0.079,5.22e-05,0.843,0.0768,0.368,Metal Essentials,1
Kings of Metal,Manowar,37i9dQZF1DWWOaP4H0w5b0,28TcG73tbc4iGrGBFjiBnR,0.575,0.881,9,-13.012,0.0357,0.000117,2.69e-05,0.147,0.699,Metal Essentials,1
Wild Eyes,Parkway Drive,37i9dQZF1DWWOaP4H0w5b0,4G8EhnfKvBQVlOJ4xXCHpQ,0.299,0.99,6,-3.498,0.156,0.000732,0.000405,0.165,0.197,Metal Essentials,1
Heaven and Hell - 2008 Remaster,Black Sabbath,37i9dQZF1DWWOaP4H0w5b0,3Jl5GohfNwozDmpzmQBLDI,0.329,0.673,3,-8.465,0.0296,0.0239,0.109,0.138,0.323,Metal Essentials,1
Panic Attack,Dream Theater,37i9dQZF1DWWOaP4H0w5b0,5axwj3ekvw85989jjO8Ov8,0.494,0.96,1,-5.478,0.126,3.93e-05,0.00519,0.113,0.127,Metal Essentials,1
"Snap Your Fingers, Snap Your Neck",Prong,37i9dQZF1DWWOaP4H0w5b0,7hgtn706RqLE5q1mWe8aQx,0.668,0.788,5,-6.752,0.0424,7.48e-05,0.108,0.0792,0.692,Metal Essentials,1
L'enfant sauvage,Gojira,37i9dQZF1DWWOaP4H0w5b0,4PWxt9Fy949kUtkEi2GI5V,0.143,0.995,8,-5.698,0.185,0.000146,0.438,0.364,0.079,Metal Essentials,1
Davidian,Machine Head,37i9dQZF1DWWOaP4H0w5b0,3qHlBxD3acw5nrl7Padt0v,0.278,0.937,7,-6.952,0.168,0.000535,0.118,0.227,0.29,Metal Essentials,1
Stone the Crow,DOWN,37i9dQZF1DWWOaP4H0w5b0,7DuRbuweGD2cpGN74cpPAF,0.444,0.911,11,-6.117,0.0398,0.0139,0.00955,0.0868,0.556,Metal Essentials,1
The Motherload,Mastodon,37i9dQZF1DWWOaP4H0w5b0,6EF0xhfKtQNqUPz2mnE5BD,0.363,0.971,5,-2.974,0.0776,7.1e-06,0.00358,0.0797,0.347,Metal Essentials,1
Breaking the Chains,Dokken,37i9dQZF1DWWOaP4H0w5b0,2W7CvGjipq3EmHqNGN7lN9,0.526,0.9,4,-4.76,0.0531,0.00914,0.0,0.277,0.458,Metal Essentials,1
Halo,Soil,37i9dQZF1DWWOaP4H0w5b0,1QixTwDZCcfBzA7QMyont0,0.529,0.92,3,-4.168,0.0649,2.87e-05,0.00202,0.0582,0.438,Metal Essentials,1
Freezing Moon,Mayhem,37i9dQZF1DWWOaP4H0w5b0,4AP3a7eEOlz5sTJiWnv2C6,0.168,0.974,4,-9.116,0.112,3.05e-05,0.641,0.0752,0.0943,Metal Essentials,1
I Will Be Heard,Hatebreed,37i9dQZF1DWWOaP4H0w5b0,4Lxn1JlGJwmmXpODrNvPA6,0.585,0.907,1,-4.787,0.102,7.21e-05,0.0,0.0682,0.573,Metal Essentials,1
Hellraiser - 30th Anniversary Edition,Ozzy Osbourne,37i9dQZF1DWWOaP4H0w5b0,7iD5t0YgWvIIrvZtw6IIxQ,0.624,0.934,4,-3.229,0.0436,0.00232,2.67e-05,0.106,0.411,Metal Essentials,1
Let It Go,Def Leppard,37i9dQZF1DWWOaP4H0w5b0,1aR6W01r094onPc4O2avEp,0.409,0.915,2,-7.205,0.0667,0.00444,0.0022,0.342,0.409,Metal Essentials,1
You Can't Bring Me Down,Suicidal Tendencies,37i9dQZF1DWWOaP4H0w5b0,203xxdlledLFnkqrUleD72,0.272,0.958,0,-10.797,0.381,0.00195,4.63e-05,0.0915,0.0382,Metal Essentials,1
Arise,Sepultura,37i9dQZF1DWWOaP4H0w5b0,1erRDf98WX0VllciGPYO1H,0.372,0.961,9,-6.765,0.0931,1.52e-05,0.0548,0.0916,0.159,Metal Essentials,1
Stand My Ground,Within Temptation,37i9dQZF1DWWOaP4H0w5b0,7Chqf4yGnQlLWAWic9b0ET,0.271,0.866,5,-4.072,0.0578,0.0489,0.000762,0.116,0.127,Metal Essentials,1
The Toxic Waltz,Exodus,37i9dQZF1DWWOaP4H0w5b0,5ZOOjqoCaUydmo8bxSdosj,0.262,0.988,11,-4.922,0.253,0.00655,0.897,0.132,0.227,Metal Essentials,1
Slave to the Grind,Skid Row,37i9dQZF1DWWOaP4H0w5b0,49IA4BhFCOWZQ7A7wxfa4e,0.487,0.976,7,-7.567,0.105,6.8e-06,0.352,0.242,0.305,Metal Essentials,1
Return to Serenity,Testament,37i9dQZF1DWWOaP4H0w5b0,5awljpWNO5TpXCyjpvCBbs,0.294,0.613,1,-10.527,0.0384,0.235,0.000494,0.139,0.228,Metal Essentials,1
Symbolic,Death,37i9dQZF1DWWOaP4H0w5b0,0dpFb4qv92TE9R00Lq4SAW,0.364,0.982,6,-7.034,0.195,6.65e-05,0.0124,0.163,0.127,Metal Essentials,1
Evil,Mercyful Fate,37i9dQZF1DWWOaP4H0w5b0,5pH1BecbNktYDbYw0XCEWn,0.288,0.904,0,-9.455,0.114,0.000273,0.382,0.0894,0.556,Metal Essentials,1
Princess of the Night - 2009 Remastered Version,Saxon,37i9dQZF1DWWOaP4H0w5b0,2QpP8SyXrumYR5BlcdJgTV,0.362,0.797,3,-8.824,0.0424,0.00328,2e-06,0.0668,0.753,Metal Essentials,1
Raise Your Horns,Amon Amarth,37i9dQZF1DWWOaP4H0w5b0,6ypKaenmVXMCXvlkfYOpjf,0.458,0.873,5,-5.336,0.0439,6.05e-05,0.737,0.0664,0.551,Metal Essentials,1
Just One Fix,Ministry,37i9dQZF1DWWOaP4H0w5b0,0Vcpo9El50PNNbZXfKbNti,0.539,0.982,0,-4.495,0.0592,1.42e-05,0.462,0.371,0.145,Metal Essentials,1
Replica,Fear Factory,37i9dQZF1DWWOaP4H0w5b0,5YeQoMo5py82YmqXMTjM5S,0.574,0.943,11,-5.238,0.0769,3.69e-05,0.0317,0.366,0.72,Metal Essentials,1
Brotherhood of the Snake,Testament,37i9dQZF1DWWOaP4H0w5b0,4VcN84ZdC7doe4yoIarJUA,0.289,0.989,1,-4.006,0.11,6e-06,0.179,0.122,0.198,Metal Essentials,1
Llorar,Los Socios Del Ritmo,0EfZGNw0JHvoCkNfnMDYAU,7d00W7wOsi1V9nKxcedEi7,0.783,0.59,5,-6.917,0.113,0.0577,0.0,0.0524,0.962,Cumbias de Microbusero,0
El Paso del Gigante,Sonador,0EfZGNw0JHvoCkNfnMDYAU,1fATLOTF1CZR7ZM6EVNmUN,0.564,0.785,9,-6.47,0.188,0.0924,0.0,0.0965,0.78,Cumbias de Microbusero,0
Tiene Espinas El Rosal,Grupo Cañaveral De Humberto Pabón,0EfZGNw0JHvoCkNfnMDYAU,1PZ3QsCFec05Ls3PwOqKXZ,0.68,0.423,11,-11.112,0.136,0.0343,0.0,0.0925,0.822,Cumbias de Microbusero,0
Que Bello,Sonora Tropicana,0EfZGNw0JHvoCkNfnMDYAU,5rOayjEJlBGkkoKb1Ye3eo,0.654,0.42,7,-9.866,0.0927,0.237,3.3e-05,0.0651,0.931,Cumbias de Microbusero,0
Procura,ChiChi Peralta,0EfZGNw0JHvoCkNfnMDYAU,7xmp7f74I0rxUOPjVuIOE8,0.805,0.758,8,-7.418,0.0352,0.308,0.000661,0.12,0.974,Cumbias de Microbusero,0
Tiburon,Proyecto Uno,0EfZGNw0JHvoCkNfnMDYAU,2eBYC1iZC73kwUISPAWrB1,0.887,0.727,0,-12.506,0.0514,0.324,0.00637,0.0532,0.871,Cumbias de Microbusero,0
Cómo Te Voy A Olvidar,Los Ángeles Azules,0EfZGNw0JHvoCkNfnMDYAU,6lCmtkhR22o2jTsuOtB0Bs,0.647,0.469,2,-7.63,0.0617,0.263,4.4e-06,0.213,0.673,Cumbias de Microbusero,0
17 Años,Los Ángeles Azules,0EfZGNw0JHvoCkNfnMDYAU,5BXsVmMTDq5Oa1DiRDUdUN,0.739,0.549,0,-7.045,0.0431,0.463,0.0,0.0951,0.787,Cumbias de Microbusero,0
Mi Niña Mujer,Los Ángeles Azules,0EfZGNw0JHvoCkNfnMDYAU,46OaRk0AuUsmCeUV661SKr,0.651,0.51,7,-6.457,0.0575,0.37,3.56e-06,0.0379,0.78,Cumbias de Microbusero,0
El Listón De Tu Pelo,Los Ángeles Azules,0EfZGNw0JHvoCkNfnMDYAU,07MBmy5faHoRNPLXkJIqNi,0.707,0.479,11,-6.18,0.056,0.308,0.0,0.219,0.802,Cumbias de Microbusero,0
Todo Me Gusta De Ti,Aaron Y Su Grupo Ilusion,0EfZGNw0JHvoCkNfnMDYAU,2E1os5dJ46vZVUUe6w6zps,0.761,0.486,10,-6.122,0.032,0.178,0.0,0.144,0.762,Cumbias de Microbusero,0
Se Me Perdio La Cadenita,La Sonora Dinamita,0EfZGNw0JHvoCkNfnMDYAU,5VUR4MhJWAbp2ZHtSDvwJ7,0.532,0.682,9,-8.79,0.0495,0.0253,0.0,0.0822,0.715,Cumbias de Microbusero,0
Escándalo,La Sonora Dinamita,0EfZGNw0JHvoCkNfnMDYAU,4Vehb6usMDULCgEgBgRePa,0.801,0.794,5,-3.921,0.029,0.444,0.000914,0.0635,0.689,Cumbias de Microbusero,0
Baila Esta Cumbia,Selena,0EfZGNw0JHvoCkNfnMDYAU,3lFGBrRWUxpTfhhq6lGBRw,0.711,0.803,0,-4.58,0.124,0.52,8.37e-06,0.0987,0.787,Cumbias de Microbusero,0
El Chico Del Apartamento 512,Selena,0EfZGNw0JHvoCkNfnMDYAU,1lh3TnDpfNBNfLfOWghNnp,0.762,0.654,10,-10.392,0.0335,0.481,2.8e-06,0.0791,0.925,Cumbias de Microbusero,0
Bidi Bidi Bom Bom - 1994 Version,Selena,0EfZGNw0JHvoCkNfnMDYAU,7bZtI85x9Vw2t6EkvILqkr,0.58,0.527,10,-11.505,0.0441,0.332,2.96e-06,0.101,0.905,Cumbias de Microbusero,0
Amor Prohibido,Selena,0EfZGNw0JHvoCkNfnMDYAU,1kCewNSs909Xj1naXr36X8,0.681,0.504,7,-11.099,0.0284,0.669,0.0,0.142,0.705,Cumbias de Microbusero,0
La Carcacha,Selena,0EfZGNw0JHvoCkNfnMDYAU,0ob3zPIGXWwg2hyXJNs3Ct,0.696,0.8,8,-5.635,0.0671,0.13,0.0,0.361,0.93,Cumbias de Microbusero,0
"Suavecito, Suavecito",Laura Leon,0EfZGNw0JHvoCkNfnMDYAU,09f8vU5alUL2QmIZMlCQ6A,0.751,0.528,0,-9.147,0.0428,0.637,0.0,0.06,0.899,Cumbias de Microbusero,0
Oye Mujer,Raymix,0EfZGNw0JHvoCkNfnMDYAU,34abOeHT29w2v6ynkeBXVQ,0.85,0.572,4,-6.155,0.0359,0.147,0.0,0.316,0.929,Cumbias de Microbusero,0
Fiestiña,Los Master Plus,0EfZGNw0JHvoCkNfnMDYAU,6vwig1R4togaapCEXxg32P,0.701,0.938,2,-2.572,0.0341,0.0326,0.0083,0.0653,0.969,Cumbias de Microbusero,0
Mi Cucu,La Sonora Dinamita,0EfZGNw0JHvoCkNfnMDYAU,18VUI387C1ku2GtJtgyrRF,0.743,0.858,7,-5.836,0.0369,0.142,5.78e-06,0.311,0.917,Cumbias de Microbusero,0
Que nadie sepa mi sufrir (Amor de mis amores),Margarita la diosa de la cumbia,0EfZGNw0JHvoCkNfnMDYAU,6azC9WCgqehMj2tHoaa10b,0.59,0.705,11,-6.183,0.0582,0.138,0.0,0.295,0.963,Cumbias de Microbusero,0
Spanish Girl,Zona Rika,0EfZGNw0JHvoCkNfnMDYAU,00C0QqlR0vBK05aE1KSRNB,0.761,0.878,11,-7.11,0.0613,0.0746,6.08e-05,0.287,0.854,Cumbias de Microbusero,0
El Botecito,Los Hijos Del Pueblo,0EfZGNw0JHvoCkNfnMDYAU,7GVxAP3rK73EvCoAqxk5vJ,0.841,0.86,1,-8.915,0.0394,0.173,1.84e-06,0.224,0.915,Cumbias de Microbusero,0
Un Sueño,Los Angeles De Charly,0EfZGNw0JHvoCkNfnMDYAU,6iPDBwtiOZGlfQt9HD0jAG,0.66,0.666,9,-3.996,0.0269,0.0459,0.0,0.0518,0.737,Cumbias de Microbusero,0
No Te Pertenece,Grupo Klaz Y Keroz,0EfZGNw0JHvoCkNfnMDYAU,0l3xSnsklPEIz9mgC4p49x,0.657,0.585,1,-5.594,0.0302,0.422,7.42e-06,0.05,0.787,Cumbias de Microbusero,0
Un Monton De Estrellas,Polo Montañez,0EfZGNw0JHvoCkNfnMDYAU,6aRaqc6pTMrm530rf7uL0S,0.499,0.649,10,-6.828,0.0399,0.168,0.0,0.0819,0.615,Cumbias de Microbusero,0
Cumbia De Los Monjes,Super Grupo G,0EfZGNw0JHvoCkNfnMDYAU,1fNN9x0yE5x2CBdt2DZj8q,0.871,0.634,11,-8.621,0.108,0.52,1.17e-06,0.358,0.818,Cumbias de Microbusero,0
Agua de vida,Perla Colombiana,0EfZGNw0JHvoCkNfnMDYAU,4R6WYoefcvItKOQWbCWybg,0.763,0.513,2,-10.743,0.168,0.202,0.0,0.0325,0.86,Cumbias de Microbusero,0
Loca,Chico Trujillo,0EfZGNw0JHvoCkNfnMDYAU,2LekureJkYmKUcUTBoHUaX,0.559,0.671,2,-5.738,0.0318,0.0558,2.96e-06,0.249,0.939,Cumbias de Microbusero,0
Muchachita Consentida,Rayito Colombiano,0EfZGNw0JHvoCkNfnMDYAU,1zVDbrBG7zCd6AXGLmbGj4,0.778,0.612,5,-6.12,0.0601,0.288,8.98e-05,0.091,0.928,Cumbias de Microbusero,0
Sopa De Caracol,Banda Blanca,0EfZGNw0JHvoCkNfnMDYAU,5jBMSbo3AZzsen4gCOKxKB,0.868,0.618,10,-12.588,0.0743,0.416,1.35e-05,0.327,0.956,Cumbias de Microbusero,0
El Gran Varon,Willie Colón,0EfZGNw0JHvoCkNfnMDYAU,27n9VDbbjFnEJsgjYTnwTM,0.645,0.665,7,-5.519,0.0384,0.581,0.0,0.0391,0.369,Cumbias de Microbusero,0
Entrega De Amor,Los Ángeles Azules,0EfZGNw0JHvoCkNfnMDYAU,3wKnUK8ii5ylKgEf82EDS5,0.627,0.553,3,-7.211,0.0431,0.203,6.21e-05,0.162,0.787,Cumbias de Microbusero,0
Mis Sentimientos,Los Ángeles Azules,0EfZGNw0JHvoCkNfnMDYAU,12rhHadsmPUqAgO90sVNTk,0.762,0.508,5,-6.389,0.0509,0.279,0.000112,0.072,0.818,Cumbias de Microbusero,0
Besar Tu Piel,Rayito Colombiano,0EfZGNw0JHvoCkNfnMDYAU,3sxYWCxHH0TcbPcEd6Ie0N,0.723,0.548,0,-6.243,0.0321,0.561,0.00116,0.109,0.806,Cumbias de Microbusero,0
No Te Voy A Perdonar,Grupo Cañaveral De Humberto Pabón,0EfZGNw0JHvoCkNfnMDYAU,4LDJhbXkL9ckWAOBlBQJKG,0.826,0.658,7,-7.962,0.0423,0.303,3.09e-05,0.16,0.531,Cumbias de Microbusero,0
Me Volví A Acordar De Ti,Los Angeles De Charly,0EfZGNw0JHvoCkNfnMDYAU,77OrXA8n0USqp0IlxgIBkp,0.664,0.579,2,-4.584,0.0268,0.153,0.0,0.384,0.73,Cumbias de Microbusero,0
Amor Regresa,Los Askis,0EfZGNw0JHvoCkNfnMDYAU,3nbCTU4k0l68vml8nDajwU,0.641,0.746,4,-4.264,0.0381,0.48,1.77e-05,0.724,0.769,Cumbias de Microbusero,0
El Afilador,Grupo Carabo,0EfZGNw0JHvoCkNfnMDYAU,2eP1TQKDfsfMMUdSDhMLPi,0.733,0.652,0,-5.883,0.0554,0.138,0.0038,0.114,0.905,Cumbias de Microbusero,0
Mayonesa,Chocolate,0EfZGNw0JHvoCkNfnMDYAU,5Qjx4obghhfhsh6DiUwpNM,0.851,0.843,10,-5.204,0.0475,0.088,0.0,0.0665,0.888,Cumbias de Microbusero,0
La Ventanita,Garibaldi,0EfZGNw0JHvoCkNfnMDYAU,36KjljlMp38jI7T7bqWlpg,0.913,0.841,2,-8.984,0.0421,0.109,0.000151,0.0385,0.953,Cumbias de Microbusero,0
La Negra Tiene Tumbao,Celia Cruz,0EfZGNw0JHvoCkNfnMDYAU,78UZRdq9Wl3fkFoT12zA4g,0.811,0.867,11,-4.255,0.0442,0.0366,5.13e-05,0.219,0.962,Cumbias de Microbusero,0
La Boa,La Sonora Santanera,0EfZGNw0JHvoCkNfnMDYAU,4UmKFyEKaew90RWzqbTalb,0.73,0.547,7,-5.577,0.139,0.361,0.000603,0.257,0.798,Cumbias de Microbusero,0
Bomboro Quiñá Quiñá (with Rubén Albarrán) - En Vivo,La Sonora Santanera,0EfZGNw0JHvoCkNfnMDYAU,1rE3FOiSxAR0vmDg4Yntjy,0.967,0.727,7,-4.257,0.0554,0.684,0.00393,0.697,0.819,Cumbias de Microbusero,0
Amigos Nada Más,Los Ángeles Azules,0EfZGNw0JHvoCkNfnMDYAU,1tx4b6Gvx5lWSasa3gqwQ3,0.663,0.41,0,-6.646,0.0479,0.645,0.0,0.0895,0.702,Cumbias de Microbusero,0
Los Luchadores,Conjunto Africa,0EfZGNw0JHvoCkNfnMDYAU,0cfOXopZY2mzmH4P9gr0sy,0.451,0.473,9,-10.775,0.219,0.557,2.68e-05,0.148,0.948,Cumbias de Microbusero,0
Echarme Al Olvido,Grupo Cañaveral De Humberto Pabón,0EfZGNw0JHvoCkNfnMDYAU,52Uy47FjbqbAh3WXejw7gU,0.781,0.344,0,-12.779,0.0836,0.0717,0.0,0.0628,0.558,Cumbias de Microbusero,0
La rebelion,Joe Arroyo,0EfZGNw0JHvoCkNfnMDYAU,00Ro1lnV3V6i87aY4t8Q43,0.571,0.755,1,-7.907,0.0735,0.142,2.55e-05,0.136,0.875,Cumbias de Microbusero,0
Gracias Amor,Matecana Orquesta,0EfZGNw0JHvoCkNfnMDYAU,5IjiNGXfuAxpsqYL54mZk3,0.723,0.808,10,-4.052,0.0442,0.714,0.0,0.362,0.733,Cumbias de Microbusero,0
Mil Horas,La Sonora Dinamita,0EfZGNw0JHvoCkNfnMDYAU,5BLrN6hNbk2svdXov96dev,0.756,0.794,3,-5.623,0.0365,0.114,0.000511,0.0662,0.788,Cumbias de Microbusero,0
Existe Un Corazón,Los Ángeles Azules,0EfZGNw0JHvoCkNfnMDYAU,3B68bEaEcO5tsUFjZEQ27Y,0.636,0.399,8,-8.677,0.0683,0.335,5.42e-06,0.11,0.64,Cumbias de Microbusero,0
Chica Atrevida,Los Ángeles Azules,0EfZGNw0JHvoCkNfnMDYAU,1GnVFmDCEoTXFbYRPyrxq0,0.776,0.464,11,-9.82,0.0437,0.461,0.00122,0.0913,0.613,Cumbias de Microbusero,0
Me Haces Falta Tú,Los Ángeles Azules,0EfZGNw0JHvoCkNfnMDYAU,7AWekvuA1C4Dez0K6Hs6Mw,0.611,0.353,2,-9.885,0.104,0.0647,0.0,0.13,0.658,Cumbias de Microbusero,0
Tenías Que Ser Tú,Silvana Estrada,0EfZGNw0JHvoCkNfnMDYAU,2rIKsynpXAj5bHFdY6ESE1,0.603,0.675,4,-6.555,0.0637,0.399,0.0,0.124,0.82,Cumbias de Microbusero,0
Bonita Pero Mentirosa,Alfredo Lopez La Voz de Puebla,0EfZGNw0JHvoCkNfnMDYAU,4IZJE7yzTYn05OGmyKsRV2,0.745,0.544,0,-11.456,0.0758,0.0518,0.0,0.0342,0.969,Cumbias de Microbusero,0
Conga Y Timbal,Los Yaguarú,0EfZGNw0JHvoCkNfnMDYAU,7LXEJkLmNUCXD4WNbshFdy,0.841,0.353,7,-14.21,0.099,0.377,0.0291,0.0721,0.919,Cumbias de Microbusero,0
Como La Flor,Selena,0EfZGNw0JHvoCkNfnMDYAU,5ubqSAc9LxUS2CsMHcA4kF,0.632,0.75,10,-7.739,0.0358,0.162,1.64e-05,0.368,0.87,Cumbias de Microbusero,0
Pégame Tu Vicio,Eddy Herrera,0EfZGNw0JHvoCkNfnMDYAU,0DLaQPP83EMpgmbiEuzwM4,0.701,0.847,2,-7.892,0.0417,0.0858,2.6e-05,0.0816,0.817,Cumbias de Microbusero,0
Adiós Adiós,"Daniel, Me Estás Matando",0EfZGNw0JHvoCkNfnMDYAU,243S6joPNzPJ4284gOisr4,0.761,0.539,6,-10.33,0.088,0.383,9.4e-05,0.146,0.743,Cumbias de Microbusero,0
El Nido,La Sonora Santanera,0EfZGNw0JHvoCkNfnMDYAU,0XQ8v0GKPYrsxllc5ZRpXQ,0.557,0.401,4,-12.187,0.0392,0.785,2.72e-05,0.0548,0.963,Cumbias de Microbusero,0
El Gil de Tu Ex,Santaferia,0EfZGNw0JHvoCkNfnMDYAU,3cUE3p7E39CzGjQoEsg7sM,0.774,0.77,7,-3.074,0.0426,0.49,1.25e-06,0.311,0.874,Cumbias de Microbusero,0
Talento De Televisión,Willie Colón,0EfZGNw0JHvoCkNfnMDYAU,3fRIuTih8bzc0vtY9fHhvF,0.779,0.796,2,-6.675,0.0434,0.701,3.99e-05,0.0636,0.938,Cumbias de Microbusero,0
Yo No Sé Mañana (salsa),Luis Enrique,0EfZGNw0JHvoCkNfnMDYAU,1nZziTuPRwCfJe1XvVC760,0.64,0.83,4,-3.197,0.0427,0.665,0.0,0.178,0.74,Cumbias de Microbusero,0
Los Caminos De La Vida,La Tropa Vallenata,0EfZGNw0JHvoCkNfnMDYAU,1layZXCAmJ84fi21OmnTt5,0.624,0.698,2,-6.262,0.03,0.384,0.0,0.114,0.946,Cumbias de Microbusero,0
